"year","state","sector","source","carbdiox_millmtrcton"
2005,"alabama","Transportation","Natural Gas",0.8
2005,"alabama","Transportation","All",34.7
2005,"alabama","Electric Power","Coal",75.5
2005,"alabama","Electric Power","Petroleum Products",0.1
2005,"alabama","Electric Power","Natural Gas",5.7
2005,"alabama","Electric Power","All",81.3
2005,"alabama","All","Coal",84
2005,"alabama","All","Petroleum Products",40
2005,"alabama","All","Natural Gas",19.3
2005,"alabama","All","All",143.3
2006,"alabama","Residential","Coal",0
2006,"alabama","Residential","Petroleum Products",0.4
2006,"alabama","Residential","Natural Gas",2.1
2006,"alabama","Residential","All",2.5
2006,"alabama","Commercial","Coal",0.1
2006,"alabama","Commercial","Petroleum Products",0.8
2006,"alabama","Commercial","Natural Gas",1.3
2006,"alabama","Commercial","All",2.2
2006,"alabama","Industrial","Coal",8
2006,"alabama","Industrial","Petroleum Products",4.9
2006,"alabama","Industrial","Natural Gas",9.2
2006,"alabama","Industrial","All",22.1
2006,"alabama","Transportation","Coal",0
2006,"alabama","Transportation","Petroleum Products",34.5
2006,"alabama","Transportation","Natural Gas",0.8
2006,"alabama","Transportation","All",35.3
2006,"alabama","Electric Power","Coal",75.6
2006,"alabama","Electric Power","Petroleum Products",0.1
2006,"alabama","Electric Power","Natural Gas",7.9
